                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3879,                 5.8865,                 4.1884,                      0,                      0,                      0,                      0,                 5.4739,                 5.4607,                 4.1307,             0.00014996,             0.00014996,             0.00014996
                      2,                 5.0518,                 4.9123,                 3.6798,                0.00214,                0.00625,                0.00128,                0.00034,                 4.8864,                  4.178,                 3.3679,             0.00029864,             0.00029864,             0.00029864
                      3,                 4.6053,                 3.9668,                 2.9014,                0.76079,                0.00544,                0.00322,                0.00076,                 4.2295,                 5.1502,                 2.3309,             0.00044432,             0.00044432,             0.00044432
